Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Kepa Arrizabalaga,,,124,,,,,,,
Kevin De Bruyne,10,4,12,8,4,13,14,,,
Kevin Gameiro,,,,,,59,,,,
Kevin Strootman,,,,,,,,,62,
Kevin Volland,,,,,,,,,,
Keylor Navas,94,67,102,66,78,55,67,,,
Kieran Tierney,,222,,,,,,,,
Kieran Trippier,147,,,72,,,,,,
Kingsley Coman,109,47,119,,,,,,,
Klaas Jan Huntelaar,,,,,,,,,,63
Kodjo Fo-Doh Laba,,,,,,,,,,
Koen Casteels,,,,,,,,,,
Koke,135,101,,141,88,41,70,42,90,
Krzysztof Piatek,,,151,,,,,,,
Kwadwo Asamoah,,,,,,,,,,87
Kyle Walker,74,,165=,80,109,,,,,
Kylian Mbappé,6,7,6,4,8,,,,,
Kyogo Furuhashi,,,,,,,,,,
Laurent Koscielny,,,,,,68,100,,74,
Lautaro Martínez,30,44,47,,,,,,,
Leandro Damião,,,,,,,,,,
Leandro Paredes,,,,,,,,,,
Leon Goretzka,64,40,,,105,,,,,
Leonardo Bonucci,22,152,103,76,45,26,92,,,88
Leonardo Spinazzola,73,,,,,,,,,
Leroy Sané,115,75,91,57,61,,,,,
Lionel Messi,2,2,1,3,1,2,1,2,1,1
Lorenzo Insigne,62,150,140,58,44,148,127,,,
Lorenzo Pellegrini,,,,,,,,,,
Lucas Hernández,,,,69,,,,,,
Lucas Moura,,,67,,,,,,92,
Lucas Ocampos,,53,,,,,,,,
Lucas Paquetá,118,,,,,,,,,
Lucas Torreira,,,,93,,,,,,
Luis Abram,,,,,,,,,,
Luis Alberto,,98,,,,,,,,
Luis Díaz,87,,,,,,,,,
Luis Miguel Rodríguez,,,,,,,,,,
Luis Montes,,,,,,,,,,
Luis Muriel,156,148,,,,,,,,
Luis 'Pulga' Rodríguez,,,,,,,,,,
Luis Sinisterra,,,,,,,,,,
Luis Suárez,19,58,26,14,15,3,4,6,9,21
Luiz Adriano,,,,,,,,78,,
Luka Jovic,,,114,,,,,,,
Luka Modric,40,71,45,1,6,12,31,23,61,80
Lukáš Hrádecký,,,,,,,,,,
Lukas Nmecha,,,,,,,,,,
Lukasz Piszczek,,,,,,,,,85,
Luke Shaw,78,,,,,,,,,
Luuk de Jong,,116,,,,,,,,
Malcom,,,,,,,,,,
Manuel Akanji,,,,,,,,,,
Manuel Locatelli,125,,,,,,,,,
Manuel Neuer,36,15,113,123,40,18,8,3,22,29
Mapou Yanga-M'Biwa,,,,,,,,,,82
Marc-André ter Stegen,149,48,21,44,55,143,217=,,,
Marcel Sabitzer,,68,,,,,,,,
Marcelo,,188,109,18,19,48,88,,60,51
Marcelo Brozovic,81,,130,104,,,,,,
Marcelo Díaz,,,,,,,,,,
Marcelo Martins,,,,,,,,,,
Marco Asensio,,,,62,42,,,,,
Marco Reus,,,80,47,,110,50,40,23,27
